S  | Repository                     | Name                              | Version                             | Arch
---+--------------------------------+-----------------------------------+-------------------------------------+-------
i+ | Main Repository (OSS)          | autoconf                          | 2.72-2.3                            | noarch
i+ | Main Repository (OSS)          | automake                          | 1.17-1.3                            | noarch
i+ | Main Repository (OSS)          | autorandr                         | 1.15.0.1709469470-2.1               | noarch
i+ | Main Repository (OSS)          | autorandr-bash-completion         | 1.15.0.1709469470-2.1               | noarch
i+ | Main Repository (OSS)          | autoyast2                         | 5.0.7-1.1                           | noarch
i+ | Main Repository (OSS)          | btrfsprogs                        | 6.14-2.1                            | x86_64
i+ | Main Repository (OSS)          | chromium                          | 137.0.7151.68-1.1                   | x86_64
i+ | Main Repository (OSS)          | chrony                            | 4.6.1-1.2                           | x86_64
i+ | Main Repository (OSS)          | crun                              | 1.21-1.1                            | x86_64
i+ | Main Repository (OSS)          | cryptsetup                        | 2.7.5-4.1                           | x86_64
i+ | Main Repository (OSS)          | device-mapper                     | 2.03.29_1.02.203-7.1                | x86_64
i+ | Main Repository (OSS)          | distrobox                         | 1.8.1.2-1.2                         | noarch
i+ | Main Repository (OSS)          | docker                            | 28.2.2_ce-17.1                      | x86_64
i+ | Main Repository (OSS)          | docker-bash-completion            | 28.2.2_ce-17.1                      | noarch
i+ | Main Repository (OSS)          | docker-compose                    | 2.37.0-1.1                          | x86_64
i+ | Main Repository (OSS)          | docker-rootless-extras            | 28.2.2_ce-17.1                      | noarch
i+ | Main Repository (OSS)          | dosfstools                        | 4.2-4.8                             | x86_64
i+ | Main Repository (OSS)          | dunst                             | 1.12.2-1.1                          | x86_64
i+ | Main Repository (OSS)          | e2fsprogs                         | 1.47.2-1.1                          | x86_64
i+ | Main Repository (OSS)          | exfatprogs                        | 1.2.9-1.1                           | x86_64
i+ | Main Repository (OSS)          | fira-code-fonts                   | 6.2-1.9                             | noarch
i+ | Main Repository (OSS)          | firewalld                         | 2.1.2-6.1                           | noarch
i+ | Main Repository (OSS)          | flatpak                           | 1.16.1-1.1                          | x86_64
i+ | Main Repository (OSS)          | flatpak-xdg-utils                 | 1.0.6-1.2                           | x86_64
i+ | Main Repository (OSS)          | fontawesome-fonts                 | 6.7.2-1.1                           | noarch
i+ | Main Repository (OSS)          | fontawesome-fonts-web             | 6.7.2-1.1                           | noarch
i+ | Main Repository (OSS)          | gammastep                         | 2.0.9-2.5                           | x86_64
i+ | Main Repository (OSS)          | gammastep-indicator               | 2.0.9-2.5                           | x86_64
i+ | Main Repository (OSS)          | gcc                               | 14-3.1                              | x86_64
i+ | Main Repository (OSS)          | gcc-c++                           | 14-3.1                              | x86_64
i+ | Main Repository (OSS)          | git                               | 2.49.0-2.1                          | x86_64
i+ | Main Repository (OSS)          | glibc                             | 2.41-2.1                            | x86_64
i+ | Main Repository (OSS)          | grub2-x86_64-efi                  | 2.12-52.1                           | noarch
i+ | Main Repository (OSS)          | i3                                | 4.24-1.3                            | x86_64
i+ | Main Repository (OSS)          | i3blocks                          | 1.5-2.14                            | x86_64
i+ | Main Repository (OSS)          | i3lock                            | 2.15-1.3                            | x86_64
i+ | Main Repository (OSS)          | i3status                          | 2.15-1.2                            | x86_64
i+ | Main Repository (OSS)          | i3status-rust                     | 0.33.2-1.1                          | x86_64
i+ | Main Repository (OSS)          | irqbalance                        | 1.9.4.77.git+d913f60-2.1            | x86_64
i+ | Main Repository (OSS)          | kdeconnect-kde                    | 25.04.1-1.2                         | x86_64
i+ | @System                        | kernel-default                    | 6.14.6-2.1                          | x86_64
i+ | Main Repository (OSS)          | kernel-default                    | 6.15.0-1.1                          | x86_64
i+ | Main Repository (OSS)          | kexec-tools                       | 2.0.30-3.2                          | x86_64
i+ | Main Repository (OSS)          | libknet1-compress-lzo2-plugin     | 1.30-1.3                            | x86_64
i+ | Main Repository (OSS)          | libvulkan_lvp                     | 25.0.5-416.1                        | x86_64
i+ | Main Repository (OSS)          | lxappearance                      | 0.6.3-1.24                          | x86_64
i+ | Main Repository (OSS)          | maim                              | 5.8.0-2.5                           | x86_64
i+ | Main Repository (OSS)          | make                              | 4.4.1-3.3                           | x86_64
i+ | Main Repository (OSS)          | mokutil                           | 0.7.2-1.2                           | x86_64
i+ | Main Repository (OSS)          | nautilus                          | 48.2-1.1                            | x86_64
